m00,m10,m01,m20,m11,m02,m30,m21,m12,m03,mu20,mu11,mu02,mu30,mu21,mu12,mu03,nu20,nu11,nu02,nu30,nu21,nu12,nu03,label,clase_name,dataset
9360285.0,1121433645.0,1475273940.0,180076758075.0,186489752565.0,284392211880.0,32656303961265.0,30997614818745.0,36611833459695.0,58829583385860.0,45720440918.20552,9740665127.201761,51874377429.11267,126416611932.03001,281715934856.6875,-530977215306.4219,-2345290378700.665,0.0005218338719472061,0.00011117585256367915,0.0005920723135000572,4.7160832855289435e-07,1.0509661596999026e-06,-1.980857366632882e-06,-8.74931275697292e-06,0,0,2
2783325.0,443448570.0,453276270.0,73751200980.0,71683925925.0,77282687310.0,12762380108730.0,11807021220765.0,12149683314855.0,13729703807070.0,3099504094.0650454,-533552718.86440945,3464726078.338977,24447626246.573826,-33659586483.40625,10531903910.820312,15400063822.059908,0.00040009615097677764,-6.887307862235238e-05,0.00044724043784508685,1.8915895072197745e-06,-2.604347758232387e-06,8.148864322378355e-07,1.1915512304760402e-06,0,0,2
3301740.0,301055805.0,224160810.0,32685632505.0,20246381115.0,18459050160.0,3869895929085.0,2154110471985.0,1669755974475.0,1717034561340.0,5235076820.967334,-192815521.92539173,3240387049.077849,-65089847770.01095,-29811155200.55664,12823315239.736328,23826977773.2048,0.00048021676379684267,-1.7687084471799874e-05,0.00029724266431487294,-3.2859131311517244e-06,-1.5049484625380097e-06,6.473559452778627e-07,1.2028508565156959e-06,0,0,2
2206515.0,249965790.0,286227555.0,32330277510.0,31608792495.0,42037981395.0,4777533860010.0,3952144543005.0,4583656063335.0,6773188213275.0,4012819359.78389,-816591835.1964638,4908746723.457757,205800388224.06998,-56700281423.5332,33224699594.44922,46532932270.57002,0.0008242061328850928,-0.00016772247596738693,0.0010082235933170376,2.84563359439613e-05,-7.840035046719603e-06,4.594030271057883e-06,6.434180054642228e-06,0,0,2
4349535.0,416578965.0,618020805.0,48466656855.0,58613088495.0,92947463025.0,6222936312825.0,6881610677445.0,8754305490075.0,14601522391365.0,8568590951.295068,-578173857.2668141,5133543741.019522,-60305286487.06097,105784721087.51953,16518347096.660156,-64123382740.37702,0.00045292234909368167,-3.056136803662701e-05,0.00027135111286953313,-1.5284397022050687e-06,2.681117643501216e-06,4.1865811420622706e-07,-1.62520949205858e-06,0,0,2
11514270.0,1484024520.0,1332777390.0,273521839320.0,170557106235.0,224755328220.0,56137234265130.0,31946122801995.0,28620260344125.0,43841420107890.0,82252329749.59474,-1218814119.6210515,70486271536.83972,-318108944420.25354,600130130359.7969,-65327389760.03906,1508398756727.8352,0.0006204051436106745,-9.193156609912828e-06,0.0005316572253761543,-7.071065461973812e-07,1.333995636372562e-06,-1.4521259384736218e-07,3.3529350678966152e-06,0,0,2
8556780.0,1525250115.0,1275708900.0,291068167725.0,222179639265.0,226635196890.0,58474491951465.0,41749749965085.0,39058693182315.0,44222612327130.0,19191607464.30458,-5216080436.981775,36442951963.84669,-250374093861.20462,214663460492.85938,216166011302.89062,-432238452126.769,0.0002621142425263461,-7.123994043953378e-05,0.000497728851905414,-1.1689972113095995e-06,1.0022641832318747e-06,1.009279596367034e-06,-2.0181223119556322e-06,0,0,2
3084225.0,403583655.0,419150385.0,56282425725.0,53698026480.0,64134639705.0,8287512367755.0,7310131415610.0,8026168714140.0,10584198836775.0,3471827735.8263702,-1149542803.3555233,7171530578.51012,14116963505.346077,-37882117466.64844,-53666475267.75391,-81027769659.55754,0.00036497747480509536,-0.00012084621169984562,0.0007539104241901965,8.450378448243766e-07,-2.2676139163551446e-06,-3.2124615596271395e-06,-4.850301682660611e-06,0,0,2
9241710.0,962553090.0,1174535865.0,145846429920.0,119181948960.0,196958481255.0,26084563640670.0,17691356447610.0,19890687765090.0,37174855959045.0,45593505832.51532,-3149646185.4409213,47685836022.537796,1396787067827.3406,-188284807833.35156,177425834128.5547,22397217980.10274,0.0005338242700376582,-3.6877128554146474e-05,0.0005583219833845874,5.379592312456366e-06,-7.251609984821453e-07,6.833386958498932e-07,8.626075114912501e-08,0,0,2
5213475.0,698359065.0,734090685.0,102671236245.0,100316724090.0,115979472045.0,16101299682735.0,14960259510780.0,16070451252810.0,19864419363645.0,9124152262.114456,1983293047.9772599,12614799958.95964,-96199572910.81796,-27843338490.71875,-23833185272.195312,-18722756624.823288,0.00033568963622184996,7.296797583719003e-05,0.000464115184357217,-1.5500828297985611e-06,-4.486452445973291e-07,-3.840288491102385e-07,-3.016834970519109e-07,0,0,2
3728610.0,465675900.0,543421575.0,62651980710.0,71072034810.0,88862177895.0,8971353147750.0,10006069327290.0,12143390281290.0,15871725192645.0,4492493973.43866,3202686442.2322593,9661883904.617367,24423902652.461304,74951345761.64844,111616379339.34375,104300600783.76695,0.0003231421299008506,0.00023036712446724902,0.0006949729398085374,9.098036195732625e-07,2.791978277843445e-06,4.157770663091131e-06,3.885253944343504e-06,0,0,2
4744530.0,437223000.0,818776950.0,46658442930.0,72542223285.0,155468531580.0,5458868673150.0,7573393482165.0,13338689694945.0,31301806182540.0,6367001685.24025,-2910585404.132529,14169879479.306688,-14327523066.48135,57852884956.76172,16363288919.101562,-418509952444.85645,0.00028284504221077046,-0.0001292986388551354,0.0006294768491638619,-2.9220532341996224e-07,1.179891379767993e-06,3.337241272363636e-07,-8.535378756061239e-06,0,0,2
5932320.0,796216590.0,777353730.0,166835902710.0,116248244340.0,135652609590.0,37665871353630.0,24775353930540.0,20961087357900.0,26880818980470.0,59970315858.443085,11914368870.64219,33790467705.389442,-824337255041.2982,-284546340838.71094,-368209847363.7578,249694181491.12997,0.001704069082660222,0.0003385492862801446,0.0009601632154364601,-9.617086089104933e-06,-3.319644525890781e-06,-4.295700308699552e-06,2.913043690144133e-06,0,0,2
6393105.0,740788005.0,959648640.0,108754813575.0,108869176740.0,172384989330.0,17495678093385.0,16385630042580.0,19405125707430.0,33107363712870.0,22917514116.93072,-2328152496.1948023,28335186885.984226,-417104585274.5966,600331028295.3281,129309717493.17188,-1275407676855.3635,0.0005607171414036818,-5.696233045859814e-05,0.0006932699991274623,-4.036132089213066e-06,5.809131361761183e-06,1.2512715483040597e-06,-1.2341542224945037e-05,0,0,2
9422505.0,1172395650.0,1467591045.0,169946567640.0,184433833680.0,268407988995.0,27210558760860.0,27538756990770.0,33978195873780.0,53362042373085.0,24071180984.442654,1828745421.9461079,39825093537.3492,74832922920.58572,613848258724.2344,11850455799.171875,-849344337659.394,0.0002711219285504638,2.0597783961921408e-05,0.00044856362351008815,2.74584973689702e-07,2.252397760142762e-06,4.348296133347288e-08,-3.1165051892627134e-06,0,0,2
4186845.0,642772890.0,696750015.0,108961258260.0,106562913135.0,133261704855.0,19921496050620.0,18026306599395.0,20377912543875.0,27016963620465.0,10281467601.651747,-403554634.66745627,17312682762.589073,36680597139.70727,17526630354.421875,53621159680.078125,-921810995193.1315,0.0005865179996798064,-2.3021232596078623e-05,0.0009876216564037518,1.0226315536125704e-06,4.886312281305112e-07,1.494923586475278e-06,-2.5699500107947936e-05,0,0,2
6570840.0,873686865.0,838169190.0,128502560295.0,116709061470.0,125877787410.0,20426692786725.0,17895397197630.0,18123788878380.0,20885043726810.0,12333434570.811283,5262517047.872948,18961838906.421154,60633254257.08516,104297289777.01562,43980397556.6875,-9292678678.933004,0.00028565527594362933,0.00012188541244025239,0.0004391760700649734,5.478461920731518e-07,9.423685689971232e-07,3.9738083700957035e-07,-8.396314350582495e-08,0,0,2
2379660.0,302013585.0,315225900.0,45738597495.0,38220383535.0,44573762340.0,7524844626825.0,5625343050375.0,5186859332925.0,6609556275660.0,7408665687.703062,-1786383878.769827,2816802089.035573,-160586557107.3081,19934646959.320312,3071384487.0,-41251947905.065605,0.001308308541594222,-0.000315460487175171,0.0004974237451667548,-1.83832338053274e-05,2.2820295950112683e-06,3.515984161292355e-07,-4.722339260049405e-06,0,0,2
8690910.0,1261459500.0,1280970060.0,214105264950.0,190953036435.0,210029645340.0,39982877790900.0,33086318959395.0,32027880543465.0,37158857354670.0,31008204902.174187,5024077165.766991,21224986838.599842,-95354497178.3381,70469775788.5625,61691012940.8125,-54602768750.84071,0.0004105311540663098,6.651594968130191e-05,0.0002810068615510751,-4.2823094673004765e-07,3.1647525491483336e-07,2.770503925679679e-07,-2.452175413659069e-07,0,0,2
1096755.0,103935450.0,234542370.0,14005057470.0,22114841340.0,52645901070.0,2202099204270.0,2930551201260.0,4946676163260.0,12050136376860.0,4155475962.0948615,-111879094.38735192,2488734405.4150167,87292817620.89755,-43242365177.828125,5468106343.181641,-272690270145.47913,0.0034546299071593254,-9.301001112315516e-05,0.0020689943550025592,6.929540770607556e-05,-3.432696305194363e-05,4.3407312165879615e-06,-0.0002164689371040211,0,0,2
6457620.0,1106584230.0,820096320.0,205218203850.0,133785858885.0,129965728620.0,40425873581370.0,23582469972255.0,20572594427205.0,22803058577640.0,15592822039.876017,-6746667772.349543,25816216248.94962,-84526539786.36206,-167329714089.54688,15145877024.171875,-259305521138.84406,0.00037392090982006485,-0.0001617872727104317,0.0006190812056491308,-7.976490966235329e-07,-1.5790353611912066e-06,1.429266495048345e-07,-2.446980737750076e-06,0,0,2
11372745.0,1745700930.0,1351480875.0,310736026770.0,203656309470.0,213768193455.0,60614696943990.0,36048102838860.0,32122837387110.0,38254214548455.0,42773302115.32211,-3794171514.556812,53164877765.53668,-214149344278.25894,286567706395.4844,211470901531.82812,215354433205.44742,0.00033070607757583427,-2.9335017807277757e-05,0.00041104958750288236,-4.909683485601659e-07,6.569979190636694e-07,4.848276311259842e-07,4.937311892424192e-07,0,0,2
2064225.0,305254380.0,241007130.0,46438403430.0,35893485075.0,30234062250.0,7244644932930.0,5504513256735.0,4531877529465.0,4004200281510.0,1297860849.0389092,253725822.14267772,2095445233.5231624,-6445168591.789882,7589147443.251953,1664305902.5742188,-15060726723.616514,0.00030458889458214285,5.954572691719027e-05,0.000491770244713735,-1.0527898718340656e-06,1.239653773260292e-06,2.718570310318599e-07,-2.4601033054871295e-06,0,0,2
5436855.0,766735020.0,784577370.0,115547900610.0,109384719930.0,130786577700.0,18415154090250.0,16230480739890.0,18178719387690.0,23742335724600.0,7418735698.594332,-1260670737.6741364,17566407304.409733,27496002322.466854,-88340925040.78125,98328830108.38281,-201028674423.296,0.0002509772740100226,-4.2648736660831445e-05,0.0005942749814157496,3.989331987812398e-07,-1.2817182438559956e-06,1.4266304704048682e-06,-2.9166789845994913e-06,0,0,2
3849225.0,174132360.0,599700075.0,10044617280.0,25730859405.0,105536369835.0,648275236650.0,1434879885465.0,4348467019455.0,20212150653735.0,2167166936.3153353,-1398546995.4902313,12104528372.10665,-2203937347.960401,-3511779966.6254883,9962601285.542969,-1877378001.5752397,0.0001462668035496049,-9.439097432524461e-05,0.0008169609104842515,-7.581689598725053e-08,-1.2080754323899166e-07,3.427200442551015e-07,-6.458303944343322e-08,0,0,2
9683625.0,1238361855.0,1466818650.0,195143696235.0,183501319590.0,266706512460.0,34409611798305.0,28816054249050.0,32988967191960.0,52541031302550.0,36779438643.54628,-4078462192.4002647,44521436934.27254,47374785813.04291,299957327166.25,117553573993.48438,-1345796676927.2026,0.00039221948985019976,-4.349311516088763e-05,0.0004747809081861101,1.6235002209317698e-07,1.0279324298083427e-06,4.0284773867452075e-07,-4.611949510321634e-06,0,0,2
1410150.0,179666115.0,203078685.0,25467212865.0,25814082735.0,29966405325.0,3916642437285.0,3651983301975.0,3794774667675.0,4525066304535.0,2576092857.0623894,-60014611.56509663,720614238.0027124,15448673254.316387,-311074533.1816406,-5936071227.392578,1986510704.7455475,0.0012954805289725477,-3.018049622057953e-05,0.00036238667083509334,6.542261637847155e-06,-1.3173500089250965e-07,-2.5138295328790177e-06,8.412549455143877e-07,0,0,2
5210670.0,609430875.0,916274160.0,80418293535.0,107117637330.0,174101692680.0,11652905740605.0,14210313993720.0,20516127383010.0,35071602512130.0,9140321335.020796,-48190302.27953804,12978778297.836924,109250308000.80876,80371579165.61719,170445186388.28906,-107965677814.6118,0.000336646671609187,-1.7748943687667616e-06,0.00047802066857099274,1.76274197548719e-06,1.2967867901148282e-06,2.750114759989059e-06,-1.742014605527093e-06,0,0,2
